"","Belgium","Chile","China (People's Republic of)","Greece","India","Ireland","Israel","Spain","Turkey","United Kingdom","United States"
"2020-06-08",0.150019918894742,0.877928168847776,-1.98254111540207e-18,0.00399306941575715,0.0196972614436721,0.096855961566615,0.0160824450462858,0.00274738459822872,0.0256838289968729,0.244184282714086,0.2448823409378
"2020-06-09",0.14251892295,0.835214026836081,-1.98254111540207e-18,0.0053240925543443,0.0202887073636966,0.096855961566614,0.0144742005416572,0.00274738459822872,0.0249896714564157,0.232791882200128,0.239678591192871
"2020-06-10",0.133767761014471,0.915303043108021,-1.98254111540207e-18,0.0053240925543443,0.0212709300523086,0.105661048981771,0.0144742005416572,0.00244211964287163,0.0237748957606184,0.213446296421729,0.2352619632581
"2020-06-11",0.110014607189458,0.985476276412971,-1.98254111540207e-18,0.00399306941575858,0.0225488757009329,0.114466136396913,0.0144742005416572,0.000915794866070994,0.0230807382201614,0.201838944954686,0.228046679998329
"2020-06-12",0.100013279263156,1.08463410608301,-1.98254111540207e-18,0.00399306941575858,0.0236050291295481,0.102726019843372,0.0128659560370286,0.000610529910713912,0.02256012006482,0.17454017391183,0.224985650736614
"2020-06-13",0.0875116193552569,1.18989395604044,-1.98254111540207e-18,0.00399306941575858,0.0237528906095541,0.0792457867363144,0.00804122252314289,0.000305264955356829,0.0213453443690228,0.166801939600472,0.228002951008871
"2020-06-14",0.0750099594473573,1.28600077556678,-1.98254111540207e-18,0.00399306941575858,0.0244288288038679,0.0792457867363286,0.00804122252314289,-2.53765262771464e-16,0.01995702928811,0.160998263866944,0.2220995374327
"2020-06-15",0.0687591294934156,0.837502284443857,-1.98254111540207e-18,0.00266204627717283,0.025632843712489,0.0675056701828,0.00804122252314289,-2.53765262771464e-16,0.0197834899029957,0.157129146711272,0.216852058698314
"2020-06-16",0.0550073035947293,0.839027789515686,-1.98254111540207e-18,0.0026620462771714,0.0438620518903861,0.0528305244908864,0.00804122252314289,-2.53765262771464e-16,0.0196099505178828,0.140577923323086,0.212479159753
"2020-06-17",0.0575076355763007,0.869537890952628,-1.98254111540207e-18,0.00532409255434426,0.0436719442732354,0.0440254370757296,0.00643297801851429,-2.53765262771464e-16,0.01995702928811,0.128970571856042,0.205832353356114
