"","Q3rate100kdeaths","Population2018","Density2018","Urban2018","Q3_2020"
"Belgium",87.6516379462283,11427054,377.379590488771,98.001,-5.142582304
"Chile",68.0276104213964,18729160,25.1894460666519,87.564,-10.25430048
"China (People's Republic of)",0.34026695770178,1392730000,148.348833270666,59.152,4.9
"Colombia",52.3639246437242,49648685,44.7487021180712,80.778,-9.466497922
"Japan",1.24477294156048,126529100,347.073458415624,91.616,-5.889841868
"United Kingdom",63.5461652139507,66460344,274.708981936924,83.398,-9.577713345
"United States",63.3957526278301,326687501,35.7136220923495,82.256,-2.913841079
