"","Q2rate100kdeaths","Population2018","Density2018","Urban2018","Q2_2020"
"Argentina",2.93744157424214,44494502,16.2585100979651,91.87,-19.770306932
"Belgium",85.2975753855718,11427054,377.379590488771,98.001,-13.876916682
"China (People's Republic of)",0.333230417956101,1392730000,148.348833270666,59.152,3.2
"India",1.28639487605322,1352617328,454.938072575247,34.03,-23.47289
"Korea",0.546441384773155,51606633,529.358501289308,81.459,-2.777486753
"Spain",60.5905146644431,46797754,93.6771974435832,80.321,-21.507740437
"United Kingdom",60.9069974118702,66460344,274.708981936924,83.398,-21.462009163
