"","Country","Q1_2020_cases","Q2_2020_cases","Q3_2020_cases","Q1rate100kcases","Q2rate100kcases","Q3rate100kcases","Q1_2020_deaths","Q2_2020_deaths","Q3_2020_deaths","Q1rate100kdeaths","Q2rate100kdeaths","Q3rate100kdeaths","Population2018","Density2018","Urban2018"
"1","Afghanistan",175,31507,39268,0.470779572772111,84.7591542818909,105.637555792087,4,752,1460,0.0107606759490768,2.02300707842644,3.92764672141304,37172386,56.937760009803,25.495
"2","Albania",243,2535,13649,8.47760377563865,88.4391998816624,476.176189027539,15,62,387,0.523308875039423,2.16301001682961,13.5013689760171,2866376,104.612262773723,60.319
"3","Algeria",716,13907,51530,1.69554022480922,32.9327903720974,122.026798581591,44,912,1736,0.104195209345818,2.15968252098604,4.11097462328044,42228429,17.7300750711665,72.629
"4","Andorra",376,855,2050,488.273641014986,1110.30309326546,2662.13022361894,12,52,53,15.5832013089889,67.5272056722853,68.8258057813677,77006,163.842553191489,88.062
"5","Angola",7,284,4972,0.0227200716448248,0.921785763875748,16.137742316867,2,13,183,0.00649144904137851,0.0421944187689603,0.593967587286134,30809762,24.7130520574316,65.514
"6","Antigua and Barbuda",7,69,101,7.27000810086617,71.6615084228237,104.89583116964,0,3,3,0,3.11571775751407,3.11571775751407,96286,218.831818181818,24.599
"7","Argentina",1054,64530,751001,2.36883199636665,145.029154388558,1687.85123159711,27,1307,16937,0.060681654555882,2.93744157424214,38.065377156036,44494502,16.2585100979651,91.87
"8","Armenia",532,25542,50359,18.0230478193467,865.309562785252,1706.05764123023,3,443,959,0.101633728304587,15.007913879644,32.4889151480329,2951776,103.680224798033,63.149
"9","Australia",4559,7920,27096,18.2486368160224,31.7019529683916,108.459105761558,18,104,888,0.0720498931099808,0.416288271302111,3.55446139342572,24982688,3.24787091037205,86.012
"10","Austria",10180,17766,44813,115.151584391915,200.961006709899,506.90451388555,128,705,799,1.44787846779619,7.97464312340868,9.0379288731965,8840521,107.127966860564,58.297
"11","Azerbaijan",298,17524,40229,2.99805699749018,176.301848402745,404.727634067224,5,213,591,0.0503029697565467,2.14290651162889,5.94581102522382,9939771,120.23431716463,55.68
"12","Bahamas",14,104,4123,3.63032880406597,26.9681568302043,1069.13183279743,0,11,96,0,2.85240120319469,24.8936832278809,385640,38.5254745254745,83.025
"13","Bahrain",567,26758,70864,36.1275589557797,1704.94042775794,4515.24398208532,4,87,251,0.254868140781515,5.54338206199795,15.9929758340401,1569439,2017.27369979138,89.287
"14","Bangladesh",51,145483,363479,0.031607121937345,90.162723937466,225.265197542436,5,1847,5251,0.00309873744483775,1.14467361212306,3.2542940645686,161356039,1239.57931166936,36.632
"15","Barbados",34,97,190,11.861527136732,33.840239184206,66.2850045876201,0,7,7,0,2.442079116386,2.442079116386,286641,666.606976744186,31.147
"16","Belarus",152,62118,78631,1.60278395136647,655.011404545938,829.134900525639,1,392,833,0.01054463125899,4.13349545352406,8.78367783873863,9483499,46.7195037884204,78.595
"17","Belgium",12775,61427,118452,111.796093726345,537.557624213555,1036.59263358692,705,9747,10016,6.16956916454582,85.2975753855718,87.6516379462283,11427054,377.379590488771,98.001
"18","Belize",3,24,1992,0.783144638983374,6.26515711186699,520.00804028496,0,2,27,0,0.522096425988916,7.04830175085036,383071,16.7939938623411,45.724
"19","Benin",9,1199,2357,0.0783627547747297,10.4396603305445,20.5223347782264,0,21,41,0,0.182846427807703,0.356985882862658,11485048,101.853919829727,47.312
"20","Bhutan",4,77,282,0.530226910606394,10.2068680291731,37.3809971977508,0,0,0,0,0,0,754394,19.7775277714448,40.895
"21","Bolivia",107,33219,135311,0.942470375161343,292.597414883034,1191.83746666782,6,1123,7965,0.0528488060838136,9.89153487202045,70.1567900762626,11353142,10.4801458506416,69.425
"22","Bosnia and Herzegovina",420,4453,27469,12.6356489564007,133.967963816315,826.401526627073,13,186,856,0.391103420079069,5.59578739497745,25.7526559682833,3323929,64.92048828125,48.245
"23","Botswana",4,227,3172,0.177452369565854,10.0704219728622,140.719729065722,1,1,16,0.0443630923914635,0.0443630923914635,0.709809478263416,2254126,3.97742487604327,69.446
"24","Brazil",5717,1402041,4810935,2.7292777983878,669.32995867228,2296.725220393,201,59594,143952,0.0959567670939211,28.4499879512196,68.7222315258912,209469333,25.0617162430876,86.569
"25","Brunei",129,141,146,30.0725938428113,32.8700444328402,34.0356488453523,1,3,3,0.233120882502413,0.699362647507238,0.699362647507238,428962,81.3969639468691,77.629
