"","Country","YR2018"
"193","Thailand",135.897206835131
"194","Timor-Leste",85.270477471419
"195","Togo",145.046773303916
"196","Tonga",143.329166666667
"197","Trinidad and Tobago",270.927485380117
"198","Tunisia",74.4413233779609
"199","Turkey",106.960128893104
"200","Turkmenistan",12.4505947694337
"201","Turks and Caicos Islands",39.6473684210526
"202","Tuvalu",383.6
"203","Uganda",213.061734490325
"204","Ukraine",77.0296708039151
"205","United Arab Emirates",135.609110109828
"206","United Kingdom",274.708981936924
"207","United States",35.7136220923495
"208","Uruguay",19.7080276539824
"209","Uzbekistan",77.4708509637988
"210","Vanuatu",24.0098441345365
"211","Venezuela, RB",32.7307919052208
"212","Vietnam",308.125245912213
"213","Virgin Islands (U.S.)",305.648571428571
"214","West Bank and Gaza",758.984551495017
"215","Yemen, Rep.",53.9778529083092
"216","Zambia",23.3414789007116
"217","Zimbabwe",37.3245909267158
