"","Q3rate100kcases","Population2018","Density2018","Urban2018","Q3_2020"
"Chile",2472.03291551783,18729160,25.1894460666519,87.564,-10.25430048
"China (People's Republic of)",6.50126011502588,1392730000,148.348833270666,59.152,4.9
"Israel",2763.70063493493,8882800,410.480591497227,92.418,-1.447117612
"Korea",46.2905611377514,51606633,529.358501289308,81.459,-1.270959717
"United Kingdom",685.891725146653,66460344,274.708981936924,83.398,-9.577713345
